Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDS35,1122.3280358,OUT049
DRK39,1617.41970458,OUT045
DRI39,929.732482093,OUT049
FDV04,2039.17844846,OUT017
NCN14,2040.82550971,OUT035
FDH08,4000.96487826,OUT013
FDS20,2721.36381388,OUT046
FDV40,1153.58785172,OUT049
FDZ48,275.573277144,OUT010
FDS24,1423.63916142,OUT027
FDK44,2685.78221746,OUT049
FDS48,2031.33978434,OUT045
FDK26,542.920191887,OUT010
FDD23,3513.31546956,OUT045
NCH54,2040.82550971,OUT017
NCP14,318.549893681,OUT010
FDM60,123.533414111,OUT010
FDV24,2031.33978434,OUT017
FDH08,3869.13686265,OUT018
FDS12,2754.63773744,OUT027
FDR39,5870.59918758,OUT027
FDP12,760.849806558,OUT027
DRF60,5874.42354236,OUT027
FDC09,1238.45885967,OUT035
FDF50,3391.08156404,OUT018
FDG28,2755.35767522,OUT035
NCE19,889.952779304,OUT017
NCM53,271.610133888,OUT010
NCN18,2228.76562171,OUT049
FDF32,2040.82550971,OUT035
FDF11,4133.59330424,OUT013
DRI59,3984.70839509,OUT049
NCG54,3346.3494064,OUT035
FDM44,1293.48347475,OUT046
FDT57,3940.3814281,OUT018
FDV24,2031.33978434,OUT046
FDI50,543.412334889,OUT019
FDS09,780.531574764,OUT035
NCC31,2758.17467907,OUT027
FDQ07,543.412334889,OUT019
FDC22,2732.64838232,OUT017
FDZ56,2672.25064304,OUT046
FDZ40,123.533414111,OUT019
FDS46,2754.63773744,OUT027
DRD24,2007.10286408,OUT045
FDV45,3559.30726041,OUT017
FDL26,3222.19108291,OUT045
FDA56,2264.21957656,OUT018
FDN27,1663.53237845,OUT046
FDM20,4105.56718291,OUT049
FDO16,1617.41970458,OUT017
FDL03,2726.99192895,OUT035
FDE58,2240.84069027,OUT046
FDI02,2754.63773744,OUT027
NCC55,123.533414111,OUT019
FDR03,3584.14460234,OUT018
FDB14,1617.41970458,OUT017
FDR45,4141.80333482,OUT013
NCN07,1986.48458083,OUT017
FDM51,258.16086441,OUT019
FDT52,5874.42354236,OUT027
FDL26,3207.93199871,OUT046
NCZ42,4105.83291071,OUT046
DRI47,356.338193886,OUT019
FDW40,2368.22644492,OUT013
FDN34,3333.51799267,OUT046
FDS01,2699.21430368,OUT035
NCG55,2228.44828686,OUT045
FDC11,1617.41970458,OUT035
FDX35,3788.56819412,OUT018
NCB06,2647.23802603,OUT046
FDR09,543.412334889,OUT019
FDC53,1254.6867072,OUT017
FDY45,4145.07724272,OUT013
FDA22,542.920191887,OUT010
FDE02,1617.41970458,OUT035
FDW21,1617.41970458,OUT045
FDV34,1167.56329652,OUT046
FDS59,1627.78749301,OUT049
NCW17,3232.55304721,OUT017
NCK54,1659.87386694,OUT046
FDG17,543.412334889,OUT019
FDG35,2040.82550971,OUT017
FDD08,123.533414111,OUT010
NCO07,2743.45561879,OUT017
FDJ10,343.996975354,OUT010
FDW36,1205.79128303,OUT017
FDW21,258.439962298,OUT010
FDY19,2240.55767652,OUT017
DRE03,886.131262369,OUT013
NCC55,655.309348779,OUT049
FDH52,164.434403804,OUT010
FDO09,4222.72422325,OUT017
FDU43,2745.48304913,OUT045
FDX09,542.920191887,OUT010
FDH40,207.655899386,OUT019
FDW58,1625.7481324,OUT017
FDC47,3956.49423145,OUT017
NCR41,1617.41970458,OUT035
DRG49,4144.96047823,OUT035
FDC52,2758.17467907,OUT027
FDY13,1181.126324,OUT046
FDY35,774.701333555,OUT013
FDI35,3459.5003743,OUT017
NCU18,2374.18355772,OUT049
FDY33,3182.86242723,OUT018
FDC15,2758.17467907,OUT027
FDU01,3541.8802804,OUT049
NCU42,3332.09265301,OUT046
NCV29,2040.82550971,OUT018
NCY30,2718.95674653,OUT017
FDQ46,1628.7279663,OUT049
FDG58,2758.17467907,OUT027
FDK33,3907.76256673,OUT017
NCD07,1196.42125889,OUT045
NCX29,2758.17467907,OUT027
NCT42,2031.33978434,OUT013
DRN59,764.970918356,OUT035
FDI44,1617.41970458,OUT035
FDA45,2684.67627143,OUT049
FDP31,1091.57395408,OUT045
FDY01,1655.89753538,OUT046
FDT09,2310.55015843,OUT018
DRH03,1373.49700641,OUT027
FDA36,2040.82550971,OUT018
NCF31,2032.86028674,OUT017
FDG14,3249.64640871,OUT049
FDG28,4097.0851546,OUT027
FDU14,4121.4923316,OUT049
FDY47,318.635503647,OUT019
FDI56,1617.41970458,OUT049
DRD01,1090.80537886,OUT013
FDM22,956.544260485,OUT046
FDH33,768.602068796,OUT013
DRZ24,2258.25238903,OUT013
NCQ38,1238.12229247,OUT046
FDO16,2754.63773744,OUT027
FDU07,2758.17467907,OUT027
NCB07,3529.97581059,OUT013
FDU48,1269.88220508,OUT045
NCM43,2667.70316019,OUT045
FDR31,346.054467227,OUT010
DRK49,622.147921544,OUT018
NCI30,469.166509159,OUT010
DRD60,2707.05998801,OUT017
NCG19,2745.85170689,OUT046
FDH12,1273.51783846,OUT035
FDM32,1172.71162681,OUT035
FDM27,2652.88583433,OUT035
NCU53,2758.17467907,OUT027
NCQ18,2232.51893934,OUT046
FDS10,2682.76484225,OUT013
FDB33,4093.26079982,OUT027
FDI12,1336.31396138,OUT013
NCW42,2742.59366827,OUT013
NCC06,3169.38205322,OUT018
FDW02,2301.21765345,OUT017
NCD43,1187.70159766,OUT017
FDM57,1197.69540959,OUT018
FDA58,2755.54690541,OUT017
FDK56,2727.9728183,OUT046
FDP52,4097.93728574,OUT045
FDW20,1925.68301175,OUT018
FDS52,1617.41970458,OUT049
NCT29,1780.29109377,OUT018
NCL54,3252.01589301,OUT013
FDC05,2737.55905044,OUT045
FDF34,2737.49580672,OUT035
FDP03,2754.63773744,OUT027
FDD32,207.296569054,OUT010
FDZ10,1985.47301572,OUT045
FDZ40,889.422532409,OUT035
FDD51,626.340078508,OUT018
NCY30,466.846810876,OUT019
FDP58,2757.47544219,OUT017
FDV49,4309.85792573,OUT017
FDY24,123.533414111,OUT019
NCO55,1267.9056832,OUT017
FDR13,1261.05761961,OUT017
FDS51,996.258658378,OUT017
FDP26,1197.09630776,OUT045
NCB54,2754.63773744,OUT027
FDF32,2040.82550971,OUT017
FDN31,2685.67459106,OUT018
DRM48,608.803521119,OUT017
FDN20,3258.95419493,OUT049
DRL01,3983.44583643,OUT046
FDV56,1225.85378073,OUT049
DRH13,1422.59208104,OUT027
FDA03,2608.49928417,OUT017
FDF47,4097.0851546,OUT027
FDX32,2028.79477532,OUT046
FDX57,1617.41970458,OUT049
NCA30,2723.04465776,OUT045
FDO49,887.466420011,OUT013
FDL04,259.428672741,OUT019
DRM48,613.682160694,OUT035
FDR16,3745.1513045,OUT013
NCC19,3445.91164703,OUT018
NCE42,4185.51473888,OUT045
FDY24,887.127991849,OUT017
FDH19,2681.63413772,OUT049
FDJ46,3222.15916269,OUT013
FDN45,543.412334889,OUT010
FDY08,1995.63286035,OUT035
FDZ37,1166.18571633,OUT035
NCT30,775.938435578,OUT045
DRY23,622.882733232,OUT018
NCZ30,1813.83698988,OUT018
FDC44,2209.90440278,OUT018
FDB45,1237.90640716,OUT035
FDY04,2651.18342359,OUT013
FDM27,2649.43628384,OUT046
FDZ43,4080.57901548,OUT017
FDT39,362.599455608,OUT019
NCC06,542.635105545,OUT019
FDL15,1440.62248125,OUT027
FDL57,4315.65244747,OUT017
FDU08,1617.41970458,OUT046
FDK40,4282.32739823,OUT017
FDQ12,469.014347677,OUT010
FDS48,2031.33978434,OUT017
FDP09,3918.92264654,OUT045
FDW21,1617.41970458,OUT049
FDY25,3382.86297827,OUT035
DRE13,1617.41970458,OUT017
FDV43,123.533414111,OUT019
FDD22,3258.91806893,OUT045
FDM46,256.338479018,OUT019
NCO30,468.040063068,OUT010
FDM25,2684.52195553,OUT046
NCN41,1291.01430208,OUT049
FDU24,1617.41970458,OUT045
FDZ50,3559.94669106,OUT046
FDP45,4161.71739861,OUT013
NCM54,2299.48225388,OUT045
FDW10,542.920191887,OUT019
FDP20,1194.58040997,OUT017
FDK32,3199.04180328,OUT046
FDN52,1617.41970458,OUT049
FDM58,2215.76803274,OUT045
FDZ46,2754.63773744,OUT027
NCA18,1218.48724987,OUT018
FDD35,2282.18735308,OUT046
NCK31,775.493143982,OUT035
FDI40,2754.63773744,OUT027
FDT50,255.98279556,OUT019
NCT06,2040.82550971,OUT046
FDT31,2730.68606676,OUT035
FDT45,884.357270303,OUT049
FDT13,2731.94682034,OUT045
FDO50,1617.41970458,OUT045
NCU18,340.564004425,OUT010
NCR54,2729.46866953,OUT049
NCO18,3335.62780326,OUT018
FDU09,2219.10122412,OUT045
FDT13,2684.12149178,OUT018
FDE09,1221.12504399,OUT046
NCK53,318.974135192,OUT019
FDG45,3799.32436128,OUT049
DRH15,669.711433912,OUT035
FDO21,467.338953878,OUT019
FDD14,4093.26079982,OUT027
FDC09,1266.55720945,OUT046
FDH45,773.709440317,OUT027
FDV32,1151.2345409,OUT046
FDG12,2255.37490553,OUT035
FDS32,1995.63286035,OUT013
NCL55,4068.16585576,OUT018
DRE01,2763.79342101,OUT035
DRE15,1168.86403491,OUT049
NCL42,4137.45816878,OUT045
FDP31,1301.43069619,OUT013
FDN33,1617.41970458,OUT018
FDZ59,2665.2867594,OUT046
FDE45,542.920191887,OUT010
FDJ07,1680.19596082,OUT013
FDQ45,2677.11706203,OUT018
FDM33,5874.42354236,OUT027
FDO15,200.655528029,OUT010
FDM46,1617.41970458,OUT013
FDR03,3718.38947571,OUT045
FDY49,2622.05367453,OUT018
FDQ60,1210.1378058,OUT045
FDW10,3411.27989995,OUT049
FDO51,687.996811102,OUT049
FDJ40,2212.45593685,OUT018
FDS20,2675.93516945,OUT018
FDU45,1634.62775325,OUT013
FDV02,2675.41222117,OUT035
FDN09,2750.45344927,OUT046
NCM55,4093.26079982,OUT027
FDN23,2561.88126967,OUT018
FDY31,353.306931467,OUT010
FDW03,318.44068589,OUT010
FDD14,2721.49631529,OUT046
FDV23,1976.06264863,OUT017
DRI03,2681.9804482,OUT045
FDN13,1240.90532367,OUT035
FDF45,1190.20372347,OUT027
FDU46,1617.41970458,OUT035
FDB57,3938.88979387,OUT049
FDV12,2228.26606202,OUT049
FDQ58,2031.33978434,OUT013
NCA18,1196.11640068,OUT017
FDH52,981.026491227,OUT049
FDM24,2592.00071147,OUT018
NCP43,4093.26079982,OUT027
NCO18,542.920191887,OUT019
FDM32,1168.05949224,OUT017
NCL07,616.080703934,OUT017
FDK03,4189.37311297,OUT013
FDP59,1625.7481324,OUT017
FDQ24,4070.35763883,OUT049
FDQ16,2222.01693579,OUT018
FDU44,2646.02762716,OUT013
FDH28,123.533414111,OUT010
FDV28,123.533414111,OUT019
FDM22,884.287101966,OUT045
FDR56,3614.76949331,OUT046
FDV39,2729.30242809,OUT049
FDU37,316.757720918,OUT019
FDQ11,469.014347677,OUT010
FDX02,4031.30960073,OUT045
NCS42,1617.41970458,OUT018
FDY57,2754.63773744,OUT027
FDB21,3973.28784374,OUT049
FDE28,2756.4011036,OUT017
FDQ55,2224.2786202,OUT017
FDA48,3838.77695939,OUT049
FDZ19,3422.3928858,OUT045
NCC43,2754.37542867,OUT045
NCV18,2233.01849903,OUT046
NCA42,2597.31329659,OUT018
FDY45,4256.61122764,OUT046
NCC30,2040.82550971,OUT045
FDM57,1384.48163545,OUT013
FDL09,424.306568168,OUT010
FDB09,1432.91306027,OUT027
FDT44,1694.20298343,OUT035
NCT06,2758.17467907,OUT027
FDX26,2721.60240226,OUT049
FDK32,3155.26569923,OUT013
DRA12,2023.92326876,OUT046
FDO46,542.920191887,OUT010
FDE52,3150.71657798,OUT013
NCH42,4061.74886103,OUT045
FDV08,626.6593854,OUT035
FDB47,2689.96728933,OUT018
FDC28,277.671200574,OUT010
FDD22,3242.97967738,OUT046
FDS07,2754.63773744,OUT027
DRI13,3902.12370024,OUT045
FDG32,3773.12569428,OUT018
FDU14,4204.69352232,OUT017
FDD28,128.389383219,OUT019
NCP41,1260.94411376,OUT017
FDS08,2685.97756224,OUT049
FDX47,2645.89972959,OUT045
FDC53,214.404444016,OUT019
FDQ19,4146.54193505,OUT035
FDL14,2035.65125464,OUT045
FDM33,543.412334889,OUT019
FDA51,2215.00616621,OUT045
FDZ27,783.485391938,OUT018
FDT04,673.5464382,OUT046
DRC13,1945.13776889,OUT049
FDR16,5874.42354236,OUT027
FDQ03,2761.99903386,OUT027
FDE38,3268.05983708,OUT035
DRH23,1128.06691085,OUT027
FDT11,468.522204675,OUT019
FDD09,3381.45171734,OUT035
FDR40,1617.41970458,OUT045
FDX07,3369.91692492,OUT017
FDR07,1266.4809677,OUT035
FDA51,2214.26279046,OUT017
FDT59,543.412334889,OUT019
FDF20,3586.807539,OUT017
FDR13,1264.28232382,OUT045
FDY26,3861.13995917,OUT049
FDW04,2303.17874677,OUT017
FDK52,4056.89247892,OUT017
FDN60,2651.70862978,OUT049
FDM09,430.608124535,OUT019
FDP46,1617.41970458,OUT049
FDB50,245.599053831,OUT019
NCQ29,2040.82550971,OUT049
FDP16,5874.42354236,OUT027
FDX33,2608.05213141,OUT018
FDP07,469.014347677,OUT010
FDN22,4110.71057837,OUT046
FDF39,4142.99370122,OUT049
FDS21,984.529617717,OUT017
NCM42,1627.78749301,OUT013
FDK50,542.920191887,OUT019
DRF13,4093.26079982,OUT027
FDH35,2613.14491852,OUT018
FDP60,1617.41970458,OUT018
DRJ49,2754.63773744,OUT027
NCT42,338.981423021,OUT019
FDE38,3253.87722217,OUT049
FDI04,3631.75587271,OUT049
NCH54,2039.17844846,OUT045
FDT56,951.930580046,OUT049
DRD15,2708.14436946,OUT018
FDV58,2719.53132912,OUT013
FDP21,3579.06855071,OUT049
FDH05,3911.73633765,OUT013
FDR10,2758.17467907,OUT027
NCP06,2031.33978434,OUT045
FDF33,1627.78749301,OUT049
DRK37,3486.35981779,OUT013
DRH49,1156.97576219,OUT045
FDT58,2040.82550971,OUT013
FDD41,1625.7481324,OUT018
FDP40,1628.7279663,OUT018
FDM51,2754.63773744,OUT027
FDO45,207.296569054,OUT010
FDW33,264.822746758,OUT010
FDY24,885.637978794,OUT045
FDB10,467.491115361,OUT010
FDM40,2021.19218779,OUT035
NCI06,3476.27167597,OUT017
FDW12,323.611982675,OUT019
FDX48,2758.17467907,OUT027
NCW05,5867.06224594,OUT027
FDX27,1186.08965305,OUT017
DRM37,3618.63974009,OUT045
FDA38,2040.82550971,OUT045
FDR36,672.899853405,OUT046
FDZ45,2732.39702443,OUT046
FDG05,2648.2426025,OUT017
FDK28,4302.37933159,OUT013
FDV47,1173.75826106,OUT045
FDN21,2039.17844846,OUT045
FDP20,1378.73215631,OUT027
FDI35,3493.38419534,OUT045
DRY23,769.081272931,OUT013
FDA56,2268.96477477,OUT017
FDB09,1408.48249255,OUT013
NCO26,4089.72385818,OUT027
FDQ49,2037.82336322,OUT018
FDI52,2754.63773744,OUT027
FDZ44,1430.33303046,OUT027
FDZ09,2617.23875459,OUT018
FDY03,1634.62775325,OUT049
NCG42,1986.48458083,OUT017
DRI13,5874.42354236,OUT027
FDQ32,2317.85582711,OUT013
FDW16,2227.26034617,OUT035
FDU27,821.580936785,OUT046
FDR28,439.284608857,OUT010
FDQ49,349.469737292,OUT010
FDS37,1655.89753538,OUT046
FDW26,2710.90971135,OUT018
FDX12,4004.88090044,OUT018
NCP06,2031.33978434,OUT013
FDW45,351.010296796,OUT010
NCN30,1214.01386315,OUT049
FDN24,884.5797541,OUT049
NCL41,761.329010693,OUT027
FDR02,273.062084389,OUT019
FDD09,542.920191887,OUT010
FDS33,251.80062546,OUT010
FDU22,2245.91070817,OUT045
FDI53,2040.82550971,OUT013
DRH01,2687.07783699,OUT049
FDX32,2023.92326876,OUT013
NCP30,620.225687967,OUT018
FDB60,2732.43742562,OUT045
FDB14,1617.41970458,OUT049
NCP02,901.866373885,OUT035
FDJ10,2340.56244536,OUT017
FDG34,1221.81195863,OUT046
NCB18,1617.41970458,OUT017
FDM16,1617.41970458,OUT049
FDW25,1181.36040742,OUT018
FDB35,252.627916132,OUT010
DRN11,2385.94305259,OUT013
FDF41,543.412334889,OUT019
FDH16,1617.41970458,OUT045
NCQ50,3739.67522886,OUT018
DRH23,929.797853498,OUT018
DRJ37,2640.34761302,OUT013
DRJ24,2758.17467907,OUT027
FDY16,3388.09907292,OUT035
FDQ27,1626.80167484,OUT045
FDZ33,2031.33978434,OUT045
FDF29,2314.47503102,OUT045
FDA08,2656.06302715,OUT049
FDG31,1132.1287556,OUT046
FDE34,542.920191887,OUT019
NCR30,1349.53128,OUT027
FDV33,4254.96565357,OUT035
DRZ24,2248.02815923,OUT018
NCL54,3306.94945462,OUT035
FDR12,2040.82550971,OUT049
NCC54,4008.56290973,OUT046
DRN59,879.423643149,OUT013
FDX50,273.17129218,OUT019
FDV31,2758.17467907,OUT027
NCA29,4093.26079982,OUT027
FDW60,3440.43480275,OUT049
FDX08,2040.82550971,OUT017
DRD49,3933.57792988,OUT013
FDD33,4014.33164268,OUT046
FDW35,768.602068796,OUT013
FDJ36,1625.7481324,OUT017
FDV51,2676.03569351,OUT035
FDW36,1243.02918077,OUT046
FDH35,2661.67423612,OUT046
NCS30,2754.63773744,OUT027
FDN49,616.40069719,OUT017
FDL08,4024.51987812,OUT018
FDI09,4039.54882843,OUT013
FDP19,2295.29885498,OUT018
FDU21,123.533414111,OUT010
NCP41,1264.16881797,OUT045
FDY10,2234.46586385,OUT013
FDP12,608.881157973,OUT018
NCN26,1655.89753538,OUT049
FDK44,2680.44325559,OUT013
FDC28,1627.78749301,OUT049
FDJ41,5874.42354236,OUT027
NCT29,1924.76112025,OUT035
NCH42,543.412334889,OUT019
FDU60,3159.43321995,OUT018
FDS02,3455.66881361,OUT045
FDC51,2283.54177988,OUT046
FDU03,2713.44060276,OUT013
FDX39,3898.49914517,OUT045
NCY05,123.533414111,OUT010
NCL06,4097.0851546,OUT027
FDD32,1154.36489746,OUT035
NCN41,1269.88220508,OUT045
NCX53,2374.06500579,OUT049
FDU57,362.423402251,OUT019
FDQ23,1625.7481324,OUT046
FDQ52,4137.6604357,OUT045
FDC14,636.064332709,OUT045
FDY09,1194.79106171,OUT035
FDQ28,3235.1481708,OUT045
FDV25,3974.02741368,OUT046
FDJ07,1655.89753538,OUT035
DRB25,1626.80167484,OUT049
FDK52,543.412334889,OUT019
FDY52,1334.35894981,OUT027
FDB28,2040.82550971,OUT046
FDT36,613.45642356,OUT035
FDV25,4008.37299151,OUT017
NCN07,2754.63773744,OUT027
FDC57,2040.82550971,OUT017
FDQ03,2040.82550971,OUT018
FDU23,2671.58091515,OUT017
NCX41,2738.57468124,OUT035
NCD06,771.582534983,OUT035
FDW08,1627.78749301,OUT045
NCU29,2610.36185324,OUT017
NCE06,1410.09104906,OUT013
FDV52,282.898208975,OUT010
FDB02,3402.12136357,OUT017
NCR18,639.892063581,OUT045
FDK16,2229.31725409,OUT049
NCQ29,446.052852153,OUT010
FDZ01,260.921639997,OUT019
FDW27,2039.17844846,OUT035
FDD17,3906.34294539,OUT018
FDW39,2677.12697481,OUT013
DRH59,1118.21275885,OUT045
FDS52,1618.44103736,OUT013
FDU40,4097.0851546,OUT027
NCF54,2680.39552552,OUT013
FDH46,1625.7481324,OUT045
NCP14,2228.74566556,OUT049
FDH50,3552.54360474,OUT049
DRF15,257.277305826,OUT010
FDV27,1428.56198817,OUT027
NCJ06,1783.40777862,OUT049
FDN02,3663.55929318,OUT018
FDQ51,795.019343893,OUT049
FDQ07,3940.49254077,OUT017
FDS45,1626.80167484,OUT049
NCJ06,1798.78931909,OUT045
FDD36,1659.87386694,OUT035
FDY25,3407.36742624,OUT045
FDU52,2035.65125464,OUT046
DRK47,4023.56644474,OUT017
NCL30,3218.13010802,OUT017
FDN22,4146.32799578,OUT035
NCF30,2754.63773744,OUT027
FDK03,4282.26774746,OUT035
FDT45,889.175780885,OUT017
NCC54,5874.42354236,OUT027
FDP08,3504.27207624,OUT018
FDU44,2655.65992839,OUT046
DRG39,845.271756986,OUT035
FDU32,1814.65294199,OUT049
FDY27,2689.72064799,OUT049
NCP54,2283.33547567,OUT013
NCZ41,1976.06264863,OUT049
DRL49,1408.00466554,OUT013
FDI05,1617.41970458,OUT018
FDY56,4093.44053341,OUT045
DRC13,1945.13776889,OUT013
NCV29,2040.82550971,OUT017
FDR24,1617.41970458,OUT049
FDZ34,3376.49098463,OUT018
FDP37,1976.06264863,OUT035
FDX08,2758.17467907,OUT027
FDS57,2014.11575851,OUT045
NCG18,1625.7481324,OUT049
FDK25,3260.66652864,OUT018
FDH53,1181.54897546,OUT049
DRI59,3861.71834203,OUT018
FDA52,2688.44248564,OUT046
FDT20,123.533414111,OUT010
FDE36,542.920191887,OUT019
FDI24,3423.98920769,OUT017
FDB28,2040.82550971,OUT018
FDV11,2040.82550971,OUT017
FDP01,1235.62805895,OUT046
FDD34,4093.26079982,OUT027
FDJ50,935.121975056,OUT027
FDZ44,1405.27989004,OUT013
DRO59,1193.71042208,OUT035
DRB48,633.283554734,OUT045
FDR21,2633.46257303,OUT018
NCE42,543.412334889,OUT010
FDO23,1617.41970458,OUT046
NCE30,2694.46641167,OUT018
FDQ22,613.225294186,OUT035
FDY01,1655.89753538,OUT045
FDS08,2688.3435146,OUT017
FDG28,2702.47396556,OUT018
FDQ51,782.961284782,OUT018
FDB05,4113.71255361,OUT017
FDO56,1291.24074012,OUT049
FDE02,1617.41970458,OUT018
FDN45,3934.54422348,OUT017
FDS09,886.669061345,OUT013
NCA54,2654.63118395,OUT018
FDP09,543.412334889,OUT010
FDC53,1259.41652169,OUT045
NCM55,2734.21245437,OUT017
FDL09,2040.82550971,OUT018
FDA11,256.229271227,OUT019
FDA50,1261.4715389,OUT045
FDC23,3412.16942267,OUT017
FDE22,2039.17844846,OUT049
FDD23,3537.57359516,OUT046
NCA29,2686.86586738,OUT049
FDK38,2610.82386455,OUT046
DRC13,1813.83698988,OUT046
NCP43,2692.17262275,OUT049
FDX28,2228.05582787,OUT049
FDF08,1207.96242062,OUT049
FDZ33,2031.33978434,OUT046
FDD10,2040.82550971,OUT049
FDO58,2655.82928873,OUT017
FDI50,4083.75069879,OUT017
FDO58,2664.80570931,OUT045
FDX08,2040.82550971,OUT013
NCK17,123.533414111,OUT010
FDF39,4323.94619504,OUT035
FDU45,276.552902899,OUT010
NCJ18,2227.23624946,OUT018
DRC27,469.166509159,OUT019
DRC25,1174.32017866,OUT035
